Inoculation	Pseudomonas_coleopterorum_(8977)	Lelliottia_sp_(8978)	Pseudomonas_syringae_(8979)	Stenotrophomonas_sp_(8980)	Pseudomonas_coleopterorum_(8982)	Pseudomonas_viridiflava_(8983)	Pseudomonas_putida_group_(8984)	Pseudomonas_viridiflava_(8985)	Kosakonia_sp_(8986)	Leclercia_sp_(8987)	Pantoea_agglomerans_(8988)	Pantoea_agglomerans_(8989)	Siccibacter_turicensis_(8990)	Pseudomonas_fluorescens_subgroup_(8992)	Stenotrophomonas_sp_(8994)	Chryseobacterium_sp_(8996)	Pseudomonas_koreensis_subgroup_(9003)	Stenotrophomonas_rhizophila_(9006)	Bacillus_sp_(9009)	Bacillus_megaterium_(9010)	Curtobacterium_sp_(9011)	Massilia_sp_(9012)	Bacillus_thuringiensis_(9014)	Sphingomonas_sp_(9019)	Rhizobium_sp_(9020)	Sphingomonas_sp_(9021)	Microbacterium_sp_(9023)	Massilia_sp_(9026)	Frigoribacterium_sp_(9030)	Rathayibacter_festucae_(9033)	Microbacterium_sp_(9034)	Frigoribacterium_sp_(9039)
3B	0	0	0	0	0	0	0	0	0.00841113634452014	0	93.6804328931505	0	0.00841113634452014	0	0	0	0	0	0	0	0	0.0364482574929206	0	0	0	0	0	0	0	0	0	0
3B	0.11294826342045	0	0	0	0	0	0	0	0	0	79.4465535092398	0	0	0	0	0	0	0.00941235528503749	0	0	0	0.125498070467167	0	0	0	0	0	0	0	0	0	0
3B	0.134461999205452	0.033615499801363	0	0	0	0	0	0	0.143629862787642	0.0152797726369832	86.4498976255233	0	0.213916816917764	0.0305595452739663	0	0	0.125294135623262	0	0	0	0	1.16737462946551	0	0	0	0	0	0	0	0	0	0
3B	0.0198594940793883	0	0	0	0	0	0	0	0.0198594940793883	0	98.7587816200382	0	0.0148946205595412	0	0	0	0.00992974703969416	0	0	0	0	0.0124121837996177	0	0	0	0	0	0	0	0	0	0
3B	0	0	0	0	0	0	0	0	0	0	99.5234268931312	0	0	0	0	0	0	0	0	0	0	0.174558754260065	0.00831232163143166	0	0	0	0	0	0	0	0	0
3B	0.14841738603665	0	0	0	0	0	0	0	0	0	86.3183401484174	0	0	0	0	0	0	0	0	0	0	0.569438134181433	0.00908677873693776	0	0	0	0	0	0	0	0	0
3B	0.04151100041511	0	0	0	0	0	0	0	0	0	95.6798908853703	0	0.0148253572911107	0	0	0	0	0	0	0	0	0.0978473581213307	0.0444760718733321	0	0	0	0	0	0	0	0	0
3B	0.275618593416122	0	0	0	0	0	0	0	0	0	71.2241801121055	0	0.157938744541823	0.0278715431544393	0	0	0	0.35923322287944	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8C	0.356695529052987	0	0	0.754234057615858	0	0	0.569079126504384	0	0.0081685999019768	0.0108914665359691	65.6428688122856	0	0.457441594510701	11.4959429287154	0	0	0.0136143331699613	6.45591678919566	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8C	0	0	0	0.0427069645203679	0	0	0.0459921156373193	0	0	0	45.8574244415243	0	4.32654402102497	28.7746386333771	0	0	0	20.0065703022339	0	0	0	0.0394218134034166	0	0	0	0	0	0	0	0	0	0
8C	0.0524342605458407	0.00524342605458407	0	0.920221272579503	0	0.0131085651364602	0.0524342605458407	0	0	0.0235954172456283	59.4420994677923	0	0.820596177542406	21.6160239100228	0	0	0	15.2898303751671	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8C	0.0150879628232596	0	0	0.184073146443767	0	0	0.0603518512930384	0	0	0	11.6629952623797	0	1.15272035969703	62.1292133136184	0	0	0	23.9868432964181	0	0	0	0.0241407405172154	0	0	0	0	0	0	0	0	0	0
8C	0.0676153302394197	0	0	1.71497064879983	0	0	0.381104588622184	0	0	0.116790115868089	61.5115099732612	0	2.89516550388788	8.53489873067585	0.0122936964071672	0	0.0829824507483788	20.5427666963764	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8C	0.0870602650501403	0	0	1.07374326895173	0	0	0.0386934511333957	0	0	0	47.6896785219102	0	7.99664656756844	4.11762809144552	0	0	0.00967336278334892	34.6790055783059	0	0	0	0.0322445426111631	0	0	0	0	0	0	0	0	0	0
8C	0.0629485081203575	0	0	0.210877502203198	0	0	0.116454740022661	0	0	0	27.9334004784087	0	4.1199798564774	27.0143522598514	0	0	0	38.209744429057	0	0	0	0.100717612992572	0	0	0	0	0	0	0	0	0	0
8C	0	0.00587371512481645	0	0.229074889867841	0	0	0.0910425844346549	0	0	0.00881057268722467	40.2290748898678	0	1.7503671071953	20.1615271659325	0	0	0	29.1395007342144	0	0	0	0.0205580029368576	0	0	0	0	0	0	0	0	0	0
